#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
2574902.993452,5,3.541238
10375198.969327,5,3.550529
7775574.322496,5,3.550529
10374978.130095,5,3.550529
10374863.302486,5,3.566258
5175025.327528,5,3.566258
5175293.488906,5,3.581854
10374965.542434,5,3.581854
10374960.773678,5,3.581854
7774727.773314,5,3.602086
10374968.958427,5,3.605479
10375225.782079,5,3.613529
7675334.080844,5,3.613529
10375117.346694,5,3.621523
5175113.455487,5,3.629559
10375241.832516,5,3.637544
10374906.464334,5,3.637544
10374824.24307,5,3.645545
7775157.434477,5,3.653544
7775459.982519,5,3.653544
10375185.738372,5,3.661543
7775187.138469,5,3.66722
10374945.706242,5,3.66722
10375313.747529,5,3.66722
10375200.462656,5,3.682946
10374865.313394,5,3.682946
10375023.715037,5,3.698564
10375130.108625,5,3.701028
10375480.813508,5,3.709098
10375360.862024,5,3.717288
7775285.592399,5,3.721867
10374990.885264,5,3.737905
10375082.187167,5,3.745937
10374641.922836,5,3.753913
10375445.762573,5,3.761968
10375374.975369,5,3.761968
10375057.620007,5,3.769898
5175325.193458,5,3.777961
2575351.218586,5,3.785959
5175320.786841,5,3.785959
7775109.902856,5,3.793944
5174829.333253,5,3.80195
7775226.795313,5,3.80995
10374809.16044,5,3.80995
7774823.623903,5,3.817892
7775421.420728,5,3.82594
7775092.671475,5,3.834015
10375357.30421,5,3.842082
5175259.002515,5,3.842082
7775204.363014,5,3.850107
10375248.146148,5,3.858073
5175234.590113,5,3.858073
10375207.406444,5,3.866099
10374927.17865,5,3.874095
5175022.852169,5,3.882097
10375157.570178,5,3.882097
5175501.642008,5,3.890095
10375302.989886,5,3.898086
7775320.681404,5,3.900635
5175043.424193,5,3.900635
5174792.421474,5,3.900635
10374980.508342,5,3.916357
10375260.147931,5,3.925966
10375426.002949,5,3.925966
10375480.389934,5,3.925966
5174873.076691,5,3.946213
10375171.561854,5,3.950264
10375294.312346,5,3.958343
10375042.231055,5,3.958343
5175361.713347,5,3.966371
5175716.507996,5,3.974374
10375304.450616,5,3.974374
10375342.289698,5,3.982358
10375255.704069,5,3.990363
10375352.053191,5,3.998359
-24762.143176,5,4.000565
10374966.491911,5,4.000565
5175021.729922,5,4.000565
7775259.661976,5,4.016295
10375117.963673,5,4.026402
5175212.071812,5,4.026402
5174931.340498,5,4.026402
10374958.580347,5,4.042132
10375035.311882,5,4.042132
10375253.057097,5,4.042132
10374926.717,5,4.061397
10375472.562996,5,4.069463
10375003.635714,5,4.069463
10375254.96231,5,4.077459
7774952.97625,5,4.085484
5174785.055166,5,4.09348
5075101.705408,5,4.09348
5174645.969406,5,4.101484
2575404.69327,5,4.109473
2575397.908924,5,4.109473
10374858.489885,5,4.117296
5175293.020702,5,4.126899
5174924.382284,5,4.126899
10375229.622296,5,4.126899
7775073.641222,5,4.142634
10374830.747173,5,4.142634
-24524.040078,5,4.142634
10374931.890764,5,4.158255
10375057.90649,5,4.158255
10375069.421135,5,4.158255
10374927.589824,5,4.178647
2575286.888167,5,4.186683
2574894.755803,5,4.19471
5174786.023137,5,4.19471
5174954.937922,5,4.202748
10374668.577876,5,4.210747
5174944.283762,5,4.210747
-24948.774191,5,4.218732
10375457.385914,5,4.226738
5174814.36391,5,4.234566
10374966.923473,5,4.234566
5174983.886962,5,4.242671
5175102.243285,5,4.250593
10375130.884042,5,4.258592
7774693.831469,5,4.267519
10375035.51463,5,4.267519
7774842.705642,5,4.267519
10374918.728586,5,4.28777
10374755.152582,5,4.295844
10375142.911358,5,4.303803
10374575.575518,5,4.311859
10375388.582551,5,4.319854
10375193.933536,5,4.327853
10375048.16341,5,4.33582
10375071.029676,5,4.343853
10374735.687302,5,4.3507
10375018.664995,5,4.3507
10375042.449056,5,4.366421
10374806.235739,5,4.366421
7775004.666652,5,4.382045
10374864.732768,5,4.382045
10374964.251879,5,4.403113
5174863.20728,5,4.411207
10374990.462414,5,4.419156
5175226.647501,5,4.427198
10374934.22505,5,4.435222
5174891.768407,5,4.443193
10374623.762947,5,4.451125
5174753.177548,5,4.459186
5174827.62784,5,4.467349
7774603.447147,5,4.467349
7774713.821207,5,4.483069
10374466.511718,5,4.483069
10374513.15679,5,4.498699
10374787.574619,5,4.498699
10375010.182082,5,4.519838
7774628.793593,5,4.527933
10374798.161526,5,4.535866
5174582.148344,5,4.543923
10374474.872355,5,4.551902
10374744.942396,5,4.559928
7774492.394809,5,4.567858
10374642.801536,5,4.584028
7774376.052777,5,4.584028
10374620.891607,5,4.584028
10374934.942904,5,4.599757
10375001.094477,5,4.599757
7774460.784059,5,4.599757
10374698.588403,5,4.620052
10374522.225051,5,4.628124
5174860.436619,5,4.628124
5174955.879255,5,4.636079
10375341.304297,5,4.644149
7774740.798246,5,4.65215
7774677.109066,5,4.65215
5174877.022452,5,4.660139
10374501.346872,5,4.668136
10374918.255875,5,4.668136
10374801.494699,5,4.676137
10374771.295167,5,4.684081
10375190.944495,5,4.684081
10374628.901094,5,4.684081
10374822.131688,5,4.69981
10374778.989129,5,4.69981
10374634.450776,5,4.715433
5174681.810152,5,4.715433
10374724.491174,5,4.731055
